"Año","Periodo","Gasolina","Gasóleos"
"2007-8","Agosto","632.326","2183.241"
"2007-9","Septiembre","536.530","2083.236"
"2007-10","Octubre","573.272","2321.597"
"2007-11","Noviembre","517.522","2187.660"
"2007-12","Diciembre","532.406","2060.384"
"2008-1","Enero","493.304","2089.997"
"2008-2","Febrero","487.661","2122.343"
"2008-3","Marzo","524.990","2102.833"
"2008-4","Abri","519.977","2227.177"
"2008-5","Mayo","528.191","2171.101"
"2008-6","Junio","519.928","2018.667"
"2008-7","Julio","588.962","2319.230"
"2008-8","Agosto","576.273","1999.799"
"2008-9","Septiembre","519.440","2037.560"
"2008-10","Octubre","527.833","2130.367"
"2008-11","Noviembre","476.277","1928.471"
"2008-12","Diciembre","524.706","1978.557"
"2009-1","Enero","461.828","1824.536"
"2009-2","Febrero","444.746","1832.128"
"2009-3","Marzo","495.211","1990.402"
"2009-4","Abri","510.460","1986.899"
"2009-5","Mayo","496.434","1996.350"
"2009-6","Junio","521.273","2074.679"
"2009-7","Julio","580.518","2227.951"
"2009-8","Agosto","551.207","1949.393"
"2009-9","Septiembre","497.570","1980.275"
"2009-10","Octubre","506.802","2059.233"
"2009-11","Noviembre","449.382","1915.698"
"2009-12","Diciembre","489.545","1947.303"
"2010-1","Enero","416.094","1711.269"
"2010-2","Febrero","414.451","1811.650"
"2010-3","Marzo","494.593","2101.240"
"2010-4","Abri","468.624","1947.834"
"2010-5","Mayo","470.645","2002.394"
"2010-6","Junio","489.505","2088.333"
"2010-7","Julio","541.020","2158.293"
"2010-8","Agosto","523.515","1953.422"
"2010-9","Septiembre","483.250","1954.924"
"2010-10","Octubre","466.349","1971.103"
"2010-11","Noviembre","435.283","1951.305"
"2010-12","Diciembre","466.675","1936.493"
"2011-1","Enero","403.493","1749.656"
"2011-2","Febrero","398.889","1804.302"
"2011-3","Marzo","432.615","1970.997"
"2011-4","Abri","449.617","1881.709"
"2011-5","Mayo","427.894","1906.757"
"2011-6","Junio","456.342","1957.030"
"2011-7","Julio","493.182","1996.916"
"2011-8","Agosto","506.911","1951.742"
"2011-9","Septiembre","450.573","1886.801"
"2011-10","Octubre","438.465","1859.216"
"2011-11","Noviembre","400.261","1807.147"
"2011-12","Diciembre","435.288","1830.407"
"2012-1","Enero","385.297","1689.480"
"2012-2","Febrero","376.697","1742.412"
"2012-3","Marzo","420.349","1844.310"
"2012-4","Abri","391.860","1719.645"
"2012-5","Mayo","410.557","1818.079"
"2012-6","Junio","443.576","1874.719"
"2012-7","Julio","451.688","1884.039"
"2012-8","Agosto","477.191","1859.215"
"2012-9","Septiembre","387.549","1633.628"
"2012-10","Octubre","403.884","1793.671"
"2012-11","Noviembre","368.911","1686.502"
"2012-12","Diciembre","399.940","1694.105"
"2013-1","Enero","348.036","1599.811"
"2013-2","Febrero","331.181","1552.309"
"2013-3","Marzo","377.008","1691.356"
"2013-4","Abri","388.033","1746.537"
"2013-5","Mayo","391.198","1745.164"
"2013-6","Junio","383.181","1672.562"
"2013-7","Julio","452.192","1908.575"
"2013-8","Agosto","450.833","1787.237"
"2013-9","Septiembre","381.953","1656.746"
"2013-10","Octubre","401.724","1815.434"
"2013-11","Noviembre","362.280","1674.989"
"2013-12","Diciembre","383.181","1680.943"
"2014-1","Enero","348.867","1628.318"
"2014-2","Febrero","328.969","1570.657"
"2014-3","Marzo","373.568","1744.912"
"2014-4","Abri","385.414","1736.992"
"2014-5","Mayo","389.662","1780.267"
"2014-6","Junio","385.681","1741.944"
"2014-7","Julio","438.007","1933.782"
"2014-8","Agosto","429.558","1741.706"
"2014-9","Septiembre","395.313","1765.418"
"2014-10","Octubre","398.124","1846.142"
"2014-11","Noviembre","345.125","1658.254"
"2014-12","Diciembre","393.532","1782.762"
"2015-1","Enero","353.682","1674.945"
"2015-2","Febrero","324.817","1632.874"
"2015-3","Marzo","373.192","1829.329"
"2015-4","Abri","384.115","1797.419"
"2015-5","Mayo","383.316","1801.413"
"2015-6","Junio","401.849","1889.946"
"2015-7","Julio","456.537","2051.733"
"2015-8","Agosto","431.344","1836.953"
"2015-9","Septiembre","389.115","1783.743"
"2015-10","Octubre","395.690","1877.324"
"2015-11","Noviembre","355.403","1745.504"
"2015-12","Diciembre","398.029","1860.019"
"2016-1","Enero","341.816","1657.786"
"2016-2","Febrero","353.112","1766.262"
"2016-3","Marzo","389.927","1898.925"
"2016-4","Abri","382.717","1890.222"
"2016-5","Mayo","392.385","1878.833"
"2016-6","Junio","417.471","1961.186"
"2016-7","Julio","454.618","2014.373"
"2016-8","Agosto","459.462","1974.381"
"2016-9","Septiembre","411.259","1912.186"
"2016-10","Octubre","392.002","1850.549"
"2016-11","Noviembre","367.516","1848.710"
"2016-12","Diciembre","392.648","1861.683"
"2017-1","Enero","348.649","1731.611"
"2017-2","Febrero","338.706","1739.603"
"2017-3","Marzo","399.248","2013.485"
"2017-4","Abri","396.813","1843.175"
"2017-5","Mayo","407.674","1997.212"
"2017-6","Junio","438.091","2071.224"
"2017-7","Julio","454.614","2051.278"
"2017-8","Agosto","466.567","1992.991"
"2017-9","Septiembre","415.697","1917.672"
"2017-10","Octubre","412.658","1948.821"
"2017-11","Noviembre","377.342","1893.925"
"2017-12","Diciembre","398.460","1889.714"
"2018-1","Enero","368.063","1836.863"
"2018-2","Febrero","351.985","1799.456"
"2018-3","Marzo","410.155","2012.412"
"2018-4","Abri","401.019","1937.003"
"2018-5","Mayo","429.052","2029.617"
"2018-6","Junio","441.076","2033.036"
"2018-7","Julio","481.323","2104.659"
"2018-8","Agosto","502.375","2039.889"
"2018-9","Septiembre","429.265","1879.969"
"2018-10","Octubre","442.014","2029.359"
"2018-11","Noviembre","402.898","1932.929"
"2018-12","Diciembre","432.905","1927.162"
"2019-1","Enero","391.156","1861.826"
"2019-2","Febrero","376.633","1792.349"
"2019-3","Marzo","421.182","1945.578"
"2019-4","Abri","437.959","1971.198"
"2019-5","Mayo","455.157","2048.498"
"2019-6","Junio","454.009","1957.365"
"2019-7","Julio","523.472","2165.693"
"2019-8","Agosto","526.000","1991.000"


